model,task_id,rollout_id,step,group_id,candidate_id,domain,invalid_outputs,invalid_provenance,rollout_invalid_outputs,stage,group_position,gold_count,unique_gold_A,completion_length,raw_n,grounded_n,coverage,s_cot,s_explore,dsr_branch,primary_reward,closed,raw_invalid_text
dsr,dsr:19:2:0,19,36,9c74573db99c6e434ffde6208164113e4f3f7b126d86e2f1ce3c10405744c5ff,0,living,,unavailable:not_persisted_per_task,35,0-50,2,2,2,,,,,,,,,,
dsr,dsr:19:2:1,19,36,9c74573db99c6e434ffde6208164113e4f3f7b126d86e2f1ce3c10405744c5ff,1,living,,unavailable:not_persisted_per_task,35,0-50,2,2,2,,,,,,,,,,
dsr,dsr:19:2:2,19,36,9c74573db99c6e434ffde6208164113e4f3f7b126d86e2f1ce3c10405744c5ff,2,living,,unavailable:not_persisted_per_task,35,0-50,2,2,2,,,,,,,,,,
dsr,dsr:19:2:3,19,36,9c74573db99c6e434ffde6208164113e4f3f7b126d86e2f1ce3c10405744c5ff,3,living,,unavailable:not_persisted_per_task,35,0-50,2,2,2,,,,,,,,,,
dsr,dsr:19:3:0,19,36,d877f76968ff1321282fb8d165ba6c8faade6b0413ad1b8a2404d77060502f96,0,ad,,unavailable:not_persisted_per_task,35,0-50,3,2,2,,,,,,,,,,
dsr,dsr:19:3:1,19,36,d877f76968ff1321282fb8d165ba6c8faade6b0413ad1b8a2404d77060502f96,1,ad,,unavailable:not_persisted_per_task,35,0-50,3,2,2,,,,,,,,,,
dsr,dsr:19:3:2,19,36,d877f76968ff1321282fb8d165ba6c8faade6b0413ad1b8a2404d77060502f96,2,ad,,unavailable:not_persisted_per_task,35,0-50,3,2,2,,,,,,,,,,
dsr,dsr:19:3:3,19,36,d877f76968ff1321282fb8d165ba6c8faade6b0413ad1b8a2404d77060502f96,3,ad,,unavailable:not_persisted_per_task,35,0-50,3,2,2,,,,,,,,,,
dsr,dsr:20:0:0,20,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,0,video,0,observed_directly:trace_every20,0,0-50,0,20,20,788,4,4,1.0,0.9895833333333333,0.6478159141248351,primary_variance,0.75,True,
dsr,dsr:20:0:1,20,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,1,video,0,observed_directly:trace_every20,0,0-50,0,20,20,746,4,4,1.0,1.0,0.5839381148099392,primary_variance,0.875,True,
dsr,dsr:20:0:2,20,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,2,video,0,observed_directly:trace_every20,0,0-50,0,20,20,620,4,4,1.0,1.0,0.6706539379030216,primary_variance,0.9375,True,
dsr,dsr:20:0:3,20,38,8002d0daf096df8e5d36f940e1df8a0c7966ee594ea20a785077fb59d21ebaa4,3,video,0,observed_directly:trace_every20,0,0-50,0,20,20,902,4,4,1.0,1.0,0.5630404799960973,primary_variance,0.875,True,
dsr,dsr:20:1:0,20,38,250a3d362a435a78563c1803b3a970a78ef53e385d06da4399ae39f16462db87,0,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:20:1:1,20,38,250a3d362a435a78563c1803b3a970a78ef53e385d06da4399ae39f16462db87,1,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:20:1:2,20,38,250a3d362a435a78563c1803b3a970a78ef53e385d06da4399ae39f16462db87,2,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:20:1:3,20,38,250a3d362a435a78563c1803b3a970a78ef53e385d06da4399ae39f16462db87,3,prod,,unavailable:not_persisted_per_task,0,0-50,1,2,2,,,,,,,,,,
dsr,dsr:20:2:0,20,38,5ec2693b07a4d5599519e12866edb4fff0b11acfda833b2d773eeeef0c77e0ee,0,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:20:2:1,20,38,5ec2693b07a4d5599519e12866edb4fff0b11acfda833b2d773eeeef0c77e0ee,1,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:20:2:2,20,38,5ec2693b07a4d5599519e12866edb4fff0b11acfda833b2d773eeeef0c77e0ee,2,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:20:2:3,20,38,5ec2693b07a4d5599519e12866edb4fff0b11acfda833b2d773eeeef0c77e0ee,3,prod,,unavailable:not_persisted_per_task,0,0-50,2,2,2,,,,,,,,,,
dsr,dsr:20:3:0,20,38,34e816613902361478cba0e069db7867edd3af328e296e98fcba13e3927467a6,0,prod,,unavailable:not_persisted_per_task,0,0-50,3,2,1,,,,,,,,,,
