group_id,step,domain,gold_count,unique_gold_A,baseline_A_concentration,dsr_A_concentration,baseline_Gold_A_hit,dsr_Gold_A_hit,rescue_active,classification,stage,gold_count_bin,unique_gold_A_bin,baseline_zero_std,baseline_all_zero,baseline_Gold_AB_hit,baseline_Exact_hit,baseline_reward_mean,dsr_zero_std,dsr_all_zero,dsr_Gold_AB_hit,dsr_Exact_hit,dsr_reward_mean,lambda_A,K_A_concentration,frequency_weights,coefficient,matched_direct_provenance,baseline_rollout_reward_mean,dsr_rollout_reward_mean
8a27ccb17931890a0b4a730c68060763b6939392fef396f4a67436e45aba86a6,102,video,11,11,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.046875,0.09375
40c5143f486f8e047652ac44f19dfdeb02309aa136d72761d9986c675ec92f2e,104,ad,2,2,,0.5,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.5,"[0.5,0.125,0.125,0.5,0.125,0.5,0.5,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.203125,-0.09375
d45c49008c172189901a55bfcf094cc6d2ce429a76740614e6fe28adb073ea3b,104,video,12,8,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.25,0.125,0.25,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.203125,-0.09375
b7293186fc1b2503be392a972d8f728d30402f23e530c0f84dd1d4c240b3be61,106,living,2,2,,0.125,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,1.546875,1.46875
06342e3516bd54b7db3b4cbaab5bd5cd22f4885d5d2c984bcde23810e0baff01,106,prod,6,2,,0.375,,,False,,100-150,5+,2,,,,,,,,,,,0.1,0.375,"[0.375,0.125,0.375,0.375,0.375,0.125,0.375,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,1.546875,1.46875
ff62985956d9168edb6a7111482ba99c4b90534f0475b22ca3dc720fc3565fea,112,video,19,16,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.25,0.125,0.125,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.03125,-0.03125
67ab58f9ad082946b52ca1500ae4d6d55ed6f546c7c833fb4b686374589ce564,112,prod,2,2,,0.25,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.25,"[0.25,0.125,0.125,0.125,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.03125,-0.03125
c4a730a681582c59f8a09e4784e4832a57be0755ed4cc69d6e8494963b358a0a,114,video,20,17,,0.375,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.375,"[0.125,0.125,0.375,0.125,0.375,0.125,0.125,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,0.21875,0.25
cf90ee92683994f10d62264ea7fee5a8bc3de32ebbe08b1caa403757cecf5f58,114,video,14,11,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.25,0.125,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.21875,0.25
cf06cb7a094ce31fc28173c0b1fc82bb0d2074dce3775fc7204962cef4222eb6,116,ad,3,2,,0.75,,,False,,100-150,3-4,2,,,,,,,,,,,0.1,0.75,"[0.75,0.75,0.75,0.125,0.75,0.125,0.75,0.75]",0.0,unavailable:baseline_group_outputs_not_persisted,0.609375,1.140625
2e028f42872c6fd66b8297fc37f8e9b3645f27d0163dfbac8c71c5292b720329,116,video,12,10,,0.125,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.609375,1.140625
b7e4d4511fa1408aa85399b08ebb8e052feebe7c0512ed4d71410d945a556f05,118,ad,2,2,0.375,0.25,True,False,True,lost_gold_a,100-150,1-2,2,False,False,True,True,1.0,True,True,False,False,0.0,0.1,0.25,"[0.125,0.25,0.25,0.25,0.125,0.25,0.25,0.25]",0.025,observed_directly:trace_every20,0.53125,-0.03125
0c186d14bafbc1a28a6c9eb589ea17afb27ea6e04411c5e1efaada44ac525e29,118,prod,2,2,,0.125,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.53125,-0.03125
b6fea39a1bf187c715f59f6e66d65e7d18cd0a047d9e02c2aac81b07749b36bc,124,prod,2,2,,0.5,,,True,,100-150,1-2,2,,,,,,,True,,,,0.1,0.5,"[0.5,0.125,0.125,0.5,0.5,0.125,0.5,0.125]",0.05,unavailable:baseline_group_outputs_not_persisted,-0.015625,0.0
1ee593e5284d5773b470c17a676137aafe862db740c00bb5f81fabf4642a0302,124,prod,2,2,,0.375,,,True,,100-150,1-2,2,,,,,,,True,,,,0.1,0.375,"[0.125,0.375,0.375,0.125,0.125,0.375,0.125,0.125]",0.037500000000000006,unavailable:baseline_group_outputs_not_persisted,-0.015625,0.0
36dad14cd22e5786cb3e43ef8f2586c63dff82b0d0772191718bb539f631334e,126,prod,2,2,,0.25,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.25,"[0.25,0.125,0.25,0.25,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.09375,0.53125
0699177fb5346347fd46bae64fd3e71642bfb1f9c4b9e3c37d2d1748877f4c28,126,video,12,11,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.25,0.125,0.125,0.125,0.25,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,-0.09375,0.53125
1fcd0948aea44098db024fdec8fca37adeae8371dcd95098960e813e585db6ef,128,ad,2,2,,0.5,,,True,,100-150,1-2,2,,,,,,,True,,,,0.1,0.5,"[0.5,0.125,0.5,0.5,0.125,0.5,0.125,0.125]",0.05,unavailable:baseline_group_outputs_not_persisted,0.125,0.484375
2fbb89ca71192c54b77334f632acd194fef8072126bcf8ed40248af90a714f9f,128,ad,6,5,,0.25,,,False,,100-150,5+,3+,,,,,,,,,,,0.2,0.25,"[0.125,0.125,0.25,0.125,0.125,0.25,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.125,0.484375
ce21a6f86fbbf6fdae9b0636beffd14586c0a7ff1347814523b46b91437569db,130,ad,2,1,,0.125,,,False,,100-150,1-2,1,,,,,,,,,,,0.1,0.125,"[0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.203125,0.1875
a2f4ebd777ef3bd7ff06c9868fc20c7e63b5503cb793778c5c7229568bbc22b7,130,prod,2,2,,0.375,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.375,"[0.375,0.125,0.375,0.375,0.125,0.125,0.125,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.203125,0.1875
2a6242f5b050eb181d229a20799f37eabdf9b71e6ec0ba7072b492a338214bba,136,prod,2,1,,0.25,,,False,,100-150,1-2,1,,,,,,,,,,,0.1,0.25,"[0.125,0.125,0.25,0.25,0.125,0.25,0.125,0.25]",0.0,unavailable:baseline_group_outputs_not_persisted,0.09375,0.96875
89469262045023704737991e026af7ab9bcec2ba5b15e1cbd3d232f1561c16ba,136,ad,3,1,,0.625,,,False,,100-150,3-4,1,,,,,,,,,,,0.1,0.625,"[0.625,0.625,0.625,0.125,0.125,0.625,0.625,0.125]",0.0,unavailable:baseline_group_outputs_not_persisted,0.09375,0.96875
97c784270dfb4acf1f7f161ca2f0ed15d02f286d865f4443d7325040b1edea75,138,prod,2,2,,0.375,,,False,,100-150,1-2,2,,,,,,,,,,,0.1,0.375,"[0.125,0.375,0.125,0.125,0.125,0.125,0.375,0.375]",0.0,unavailable:baseline_group_outputs_not_persisted,0.015625,0.0625
