source,route,domain,gold_count,reward_pattern,rewards,current_adv,exact_floor_adv,exact_clamp_adv,current_abs_sum,floor_abs_sum,clamp_abs_sum
GR_REC_v1_probe,think,living,2,A_ONLY,"[0.0,0.0,0.0,0.5]","[-0.577083725634154,-0.577083725634154,-0.577083725634154,1.7312511769024619]","[-0.015625,-0.015625,-0.015625,0.046875]","[-0.015625,-0.015625,-0.015625,0.046875]",3.4625023538049238,0.09375,0.09375
GR_REC_v1_probe,nothink,living,2,AB_SIGNAL,"[2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[2.6453513715297645,-0.3779073387899664,-0.3779073387899664,-0.3779073387899664,-0.3779073387899664,-0.3779073387899664,-0.3779073387899664,-0.3779073387899664]","[0.21875,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125]","[0.21875,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125,-0.03125]",5.290702743059529,0.4375,0.4375
GR_REC_v1_probe,think,prod,2,MULTI_EXACT,"[8.0,8.25,8.0,0.0]","[0.5532910353830912,0.6246834270454256,0.5532910353830912,-1.731265497811608]","[0.2421875,0.2734375,0.2421875,-0.7578125]","[0.2421875,0.2734375,0.2421875,-0.7578125]",3.462530995623216,1.515625,1.515625
GR_REC_v1_probe,nothink,prod,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,nothink,ad,2,ALL_ZERO,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0,0.0,0.0
GR_REC_v1_probe,think,video,20,MIXED_HIGH,"[8.4375,8.4375,3.1875,2.375]","[0.9948460066944426,0.9948460066944426,-0.8519399504841911,-1.137752062904694]","[0.353515625,0.353515625,-0.302734375,-0.404296875]","[0.353515625,0.353515625,-0.302734375,-0.404296875]",3.97938402677777,1.4140625,1.4140625
GR_REC_v1_probe,nothink,video,20,AB_SIGNAL,"[0.5,0.5,0.0,2.0,0.5,0.5,2.0,0.0]","[-0.3332888948140248,-0.3332888948140248,-0.9998666844420744,1.666444474070124,-0.3332888948140248,-0.3332888948140248,1.666444474070124,-0.9998666844420744]","[-0.03125,-0.03125,-0.09375,0.15625,-0.03125,-0.03125,0.15625,-0.09375]","[-0.03125,-0.03125,-0.09375,0.15625,-0.03125,-0.03125,0.15625,-0.09375]",6.665777896280495,0.625,0.625
GR_REC_v1_probe,think,living,2,A_ONLY,"[0.0,0.5,0.0,0.0]","[-0.577083725634154,1.7312511769024619,-0.577083725634154,-0.577083725634154]","[-0.015625,0.046875,-0.015625,-0.015625]","[-0.015625,0.046875,-0.015625,-0.015625]",3.462502353804924,0.09375,0.09375
GR_REC_v1_probe,nothink,living,2,A_ONLY,"[0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0]","[-0.3777360397241218,-0.3777360397241218,2.6441522780688524,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218,-0.3777360397241218]","[-0.0078125,-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]","[-0.0078125,-0.0078125,0.0546875,-0.0078125,-0.0078125,-0.0078125,-0.0078125,-0.0078125]",5.288304556137704,0.109375,0.109375
